"origin_geoid","conteo","suma_trip_scaled_ratio","geometry","longitud","latitud"
"1300300010141066",7,103.26,c(-98.9601811118042, 20.2726046560536),-98.9601811118042,20.2726046560536
"1300300010141071",1,30.37,c(-98.9639795167052, 20.2675140182391),-98.9639795167052,20.2675140182391
"1300300010156003",6,82.26,c(-98.9521059860265, 20.278909309965),-98.9521059860265,20.278909309965
"1300300010156008",4,49.09,c(-98.9582094377557, 20.2798650359436),-98.9582094377557,20.2798650359436
"1300300010156009",14,129.15,c(-98.9561010623433, 20.288823521886),-98.9561010623433,20.288823521886
"1300300010156011",1,12.99,c(-98.9541651661582, 20.2790674358987),-98.9541651661582,20.2790674358987
"1300300010156014",6,131.02,c(-98.9551186221528, 20.2772208409598),-98.9551186221528,20.2772208409598
"1300300010160001",1,28.25,c(-98.9486923573157, 20.2816161446487),-98.9486923573157,20.2816161446487
"1300300010160002",1,11.09,c(-98.9488477028824, 20.2812761436412),-98.9488477028824,20.2812761436412
"1300300010160003",2,10.66,c(-98.9490801897992, 20.2822661921994),-98.9490801897992,20.2822661921994
"1300300010160007",2,45.47,c(-98.9486372961449, 20.2776372296669),-98.9486372961449,20.2776372296669
"1300300010160008",2,13.38,c(-98.9493141676805, 20.2802728099547),-98.9493141676805,20.2802728099547
"1300300010160010",2,76.83,c(-98.9482757327873, 20.2883704062852),-98.9482757327873,20.2883704062852
"1300300010160012",3,43.2,c(-98.9482144444667, 20.2826259045865),-98.9482144444667,20.2826259045865
"1300300010160017",1,9.18,c(-98.9477398510653, 20.2836423914039),-98.9477398510653,20.2836423914039
"1300300010160019",4,46.33,c(-98.9501010035016, 20.2785677413925),-98.9501010035016,20.2785677413925
"1300300010160024",1,41.75,c(-98.9504185351444, 20.2778854254217),-98.9504185351444,20.2778854254217
"1300300010160026",2,19.91,c(-98.9472007066783, 20.2863066747748),-98.9472007066783,20.2863066747748
"1300300010160029",1,11.88,c(-98.9505821694618, 20.2774948503751),-98.9505821694618,20.2774948503751
"1300300010160033",3,27.21,c(-98.951771543717, 20.2763885724985),-98.951771543717,20.2763885724985
"1300300010160034",2,43.44,c(-98.9469558372966, 20.2853442603472),-98.9469558372966,20.2853442603472
"1300300010160035",3,24.05,c(-98.9434502262189, 20.2820647949879),-98.9434502262189,20.2820647949879
"1300300010160043",1,30.16,c(-98.9451135453799, 20.2843650255365),-98.9451135453799,20.2843650255365
"1300300010160046",1,17.51,c(-98.9461316019572, 20.2830238213152),-98.9461316019572,20.2830238213152
"1300300010160047",1,15.34,c(-98.9469020205552, 20.2816901005907),-98.9469020205552,20.2816901005907
"1300300010160053",3,43.58,c(-98.9522537802836, 20.274937436347),-98.9522537802836,20.274937436347
"1300300010160055",1,11.2,c(-98.9492926260725, 20.2899384505598),-98.9492926260725,20.2899384505598
"1300300010160058",1,8.04,c(-98.9462326707434, 20.2768045501267),-98.9462326707434,20.2768045501267
"1300300010175002",12,156.07,c(-98.9471433885003, 20.271451347656),-98.9471433885003,20.271451347656
"1300300010175003",5,77.45,c(-98.9474321385125, 20.2705736857335),-98.9474321385125,20.2705736857335
"1300300010175004",3,67.84,c(-98.9484246713234, 20.2706024149851),-98.9484246713234,20.2706024149851
"1300300010175006",10,216.99,c(-98.9485240061963, 20.2721516514468),-98.9485240061963,20.2721516514468
"1300300010175010",6,101.1,c(-98.9464243019743, 20.2722929908172),-98.9464243019743,20.2722929908172
"1300300010175013",1,52.65,c(-98.9464716309964, 20.2695864437943),-98.9464716309964,20.2695864437943
"1300300010175014",3,44.36,c(-98.9473099118319, 20.2698402910301),-98.9473099118319,20.2698402910301
"1300300010175015",1,6.6,c(-98.948397673384, 20.2700186596898),-98.948397673384,20.2700186596898
"1300300010175016",4,93.55,c(-98.9492613903939, 20.2697454101219),-98.9492613903939,20.2697454101219
"1300300010175017",1,15.37,c(-98.9494067126942, 20.2706417388977),-98.9494067126942,20.2706417388977
"1300300010175019",2,34.91,c(-98.9499864874641, 20.2726701596259),-98.9499864874641,20.2726701596259
"1300300010175022",1,7.68,c(-98.9473846744726, 20.2732651444151),-98.9473846744726,20.2732651444151
"1300300010175023",7,84.39,c(-98.9464105616703, 20.2732000737679),-98.9464105616703,20.2732000737679
"1300300010175024",9,58.69,c(-98.9482141842444, 20.2695374198249),-98.9482141842444,20.2695374198249
"1300300010175028",4,51.7,c(-98.9473669067563, 20.2741339974497),-98.9473669067563,20.2741339974497
"1300300010175030",4,51.19,c(-98.9472021007984, 20.2689496504321),-98.9472021007984,20.2689496504321
"1300300010175031",48,766.94,c(-98.9511604350904, 20.2757087461306),-98.9511604350904,20.2757087461306
"1300300010175036",5,41.36,c(-98.9464897134758, 20.268666926631),-98.9464897134758,20.268666926631
"1300300010175037",1,13.26,c(-98.9472024769707, 20.2684687548665),-98.9472024769707,20.2684687548665
"1300300010175038",11,153.71,c(-98.9482502067903, 20.2687082703775),-98.9482502067903,20.2687082703775
"1300300010175039",2,32.18,c(-98.9491344992006, 20.2689981512354),-98.9491344992006,20.2689981512354
"1300300010175043",6,73.53,c(-98.9483869299175, 20.2677697146394),-98.9483869299175,20.2677697146394
"1300300010175045",4,117.96,c(-98.9502711781729, 20.2750430556155),-98.9502711781729,20.2750430556155
"1300300010175046",6,40.08,c(-98.9511471149295, 20.2741586539841),-98.9511471149295,20.2741586539841
"130030001018A003",3,34.81,c(-98.9518927897953, 20.2688281069267),-98.9518927897953,20.2688281069267
"130030001018A005",1,26.25,c(-98.9532604561843, 20.2688426986559),-98.9532604561843,20.2688426986559
"130030001018A007",2,82.28,c(-98.9534096809819, 20.2709887611475),-98.9534096809819,20.2709887611475
"130030001018A010",1,9.38,c(-98.950398634617, 20.2706508227867),-98.950398634617,20.2706508227867
"130030001018A011",5,84.7,c(-98.9502247699282, 20.2697404682151),-98.9502247699282,20.2697404682151
"130030001018A012",1,1,c(-98.9503640347428, 20.2690172102074),-98.9503640347428,20.2690172102074
"130030001018A016",2,22.19,c(-98.9505551095214, 20.2714940786136),-98.9505551095214,20.2714940786136
"130030001018A017",9,242.86,c(-98.9497542390453, 20.2686280924243),-98.9497542390453,20.2686280924243
"130030001018A022",2,25.17,c(-98.951413312597, 20.2724311912749),-98.951413312597,20.2724311912749
"130030001018A023",1,22.24,c(-98.9506765836945, 20.27225140494),-98.9506765836945,20.27225140494
"130030001018A024",5,84.62,c(-98.9499764384562, 20.2677280046038),-98.9499764384562,20.2677280046038
"130030001018A025",4,98.16,c(-98.9519290239456, 20.2675426200529),-98.9519290239456,20.2675426200529
"130030001018A026",1,9.52,c(-98.9528313446048, 20.2678995431944),-98.9528313446048,20.2678995431944
"130030001018A028",15,377.99,c(-98.9522627977342, 20.2737499946244),-98.9522627977342,20.2737499946244
"130030001018A029",1,11.3,c(-98.9515211100745, 20.2731935386595),-98.9515211100745,20.2731935386595
"130030001018A030",3,68.16,c(-98.9488158124277, 20.2674902759027),-98.9488158124277,20.2674902759027
"130030001018A032",1,22.99,c(-98.9507481413675, 20.2684507571006),-98.9507481413675,20.2684507571006
"1300300010211001",1,9.37,c(-98.9472936085359, 20.2657677701642),-98.9472936085359,20.2657677701642
"1300300010211003",7,98.82,c(-98.9477677037479, 20.2656729509164),-98.9477677037479,20.2656729509164
"1300300010211005",4,58.12,c(-98.9465445829696, 20.2649154202503),-98.9465445829696,20.2649154202503
"1300300010211006",8,60.87,c(-98.9475375347932, 20.2648089724644),-98.9475375347932,20.2648089724644
"1300300010211007",5,55.66,c(-98.948507547526, 20.2648329263408),-98.948507547526,20.2648329263408
"1300300010211008",2,47.64,c(-98.948512418048, 20.2657259666962),-98.948512418048,20.2657259666962
"1300300010211009",8,132.65,c(-98.9485490140196, 20.2666267172432),-98.9485490140196,20.2666267172432
"1300300010211010",1,11.53,c(-98.9481292682391, 20.2669891349519),-98.9481292682391,20.2669891349519
"1300300010211011",1,12.81,c(-98.9475023869467, 20.2667114138834),-98.9475023869467,20.2667114138834
"1300300010211012",2,19.37,c(-98.9465185015027, 20.266723320642),-98.9465185015027,20.266723320642
"1300300010211013",3,40.27,c(-98.9455522787306, 20.266724430951),-98.9455522787306,20.266724430951
"1300300010211015",2,33.45,c(-98.9455835675686, 20.2649401165111),-98.9455835675686,20.2649401165111
"1300300010211017",1,8.16,c(-98.9496515526619, 20.2656784926106),-98.9496515526619,20.2656784926106
"1300300010211018",3,93.92,c(-98.9495125524492, 20.2666388302187),-98.9495125524492,20.2666388302187
"1300300010211019",3,60.55,c(-98.9445797680376, 20.2667746651969),-98.9445797680376,20.2667746651969
"1300300010211021",4,118.29,c(-98.9446181854155, 20.2649631797361),-98.9446181854155,20.2649631797361
"1300300010211025",3,20.6,c(-98.9455283029528, 20.2676867985278),-98.9455283029528,20.2676867985278
"1300300010211026",4,54.79,c(-98.9445614405554, 20.2677135523539),-98.9445614405554,20.2677135523539
"1300300010211027",4,100.46,c(-98.9436346021713, 20.2679301661725),-98.9436346021713,20.2679301661725
"1300300010211028",2,11.13,c(-98.9436359036742, 20.2668029370543),-98.9436359036742,20.2668029370543
"1300300010211029",2,35.83,c(-98.9436452422572, 20.2658810671131),-98.9436452422572,20.2658810671131
"1300300010211032",1,9.46,c(-98.9514454101296, 20.2656020418775),-98.9514454101296,20.2656020418775
"1300300010211034",8,238.61,c(-98.9455046714211, 20.2686433112201),-98.9455046714211,20.2686433112201
"1300300010211035",3,36.4,c(-98.9445540289687, 20.268589059442),-98.9445540289687,20.268589059442
"1300300010211036",1,8.59,c(-98.9436469691469, 20.2687926368858),-98.9436469691469,20.2687926368858
"1300300010211037",2,15.48,c(-98.9426761278126, 20.2681221164994),-98.9426761278126,20.2681221164994
"1300300010226001",11,171.95,c(-98.9456683277067, 20.261934967448),-98.9456683277067,20.261934967448
"1300300010226002",4,64.27,c(-98.9466276425557, 20.2621961620836),-98.9466276425557,20.2621961620836
"1300300010226003",1,14.59,c(-98.945554286021, 20.2632801875472),-98.945554286021,20.2632801875472
"1300300010226004",2,10.34,c(-98.944625209943, 20.2630661401225),-98.944625209943,20.2630661401225
"1300300010226005",6,243.86,c(-98.9447080568555, 20.2617063530636),-98.9447080568555,20.2617063530636
